Size,GSM,DAC,Karatsuba
1,4.33333e-06,6.66667e-07,6.66667e-07
2,2e-06,3e-06,2e-06
3,4.66667e-06,9e-06,1.16667e-05
4,6.66667e-06,9.33333e-06,1.46667e-05
5,1.03333e-05,2.73333e-05,2.6e-05
6,1.26667e-05,3.53333e-05,3.16667e-05
7,1.8e-05,4.16667e-05,5.26667e-05
8,2e-05,4.53333e-05,4.83333e-05
9,2.63333e-05,8.43333e-05,6.86667e-05
10,3.23333e-05,0.000100333,8e-05
11,4.13333e-05,0.00013,8.73333e-05
12,5e-05,0.000128,9.7e-05
13,5.46667e-05,0.000146,0.000119333
14,6.36667e-05,0.000143,0.000164
15,8.03333e-05,0.000174,0.000138667
16,0.000118333,0.000183333,0.000158333
17,9.83333e-05,0.000296333,0.000205667
18,0.000109333,0.000321333,0.000209333
19,0.000126333,0.000376667,0.000219667
20,0.00014,0.000421,0.000248667
21,0.000157667,0.000429667,0.000269667
22,0.000175333,0.000463333,0.000281667
23,0.000190667,0.000513,0.000297333
24,0.00021,0.000506,0.000341333
25,0.000232333,0.00063,0.000368333
26,0.00025,0.000586,0.000384667
27,0.000282,0.000609333,0.000441667
28,0.000296,0.000650667,0.000397
29,0.000318,0.000725,0.000428
30,0.000345667,0.000702333,0.000465333
31,0.000371333,0.000670333,0.000528333
32,0.000421333,0.000714667,0.000478667
33,0.00044,0.00110467,0.000523333
34,0.000457,0.00117133,0.000578333
35,0.000485667,0.00130067,0.000623667
36,0.000527,0.00133867,0.000665667
37,0.000613333,0.00138233,0.00068
38,0.000573333,0.00148967,0.000773
39,0.000608,0.00164433,0.000768333
40,0.000704667,0.00156333,0.000727667
41,0.000679667,0.00173933,0.000842
42,0.000778333,0.00175467,0.000841
43,0.000803,0.001776,0.000913667
44,0.000889,0.001947,0.000861
45,0.000867,0.00193033,0.000909
46,0.000862,0.00206733,0.000936
47,0.000902333,0.002091,0.000976
48,0.000962,0.00201433,0.00106567
49,0.00114767,0.00227967,0.001071
50,0.00109567,0.00227533,0.001151
51,0.00110033,0.002324,0.00122667
52,0.00123267,0.00246667,0.00118467
53,0.001174,0.00247467,0.00123
54,0.00123267,0.00252667,0.00122733
55,0.00127233,0.002669,0.00131133
56,0.00131467,0.00269233,0.001291
57,0.00134867,0.00261467,0.00143667
58,0.00145933,0.00274367,0.00136433
59,0.001507,0.00271333,0.00147333
60,0.001539,0.00291167,0.00142333
61,0.00213567,0.00328167,0.00174667
62,0.001868,0.00306533,0.00165767
63,0.001973,0.00315067,0.00179367
64,0.00188133,0.003343,0.00168167
65,0.002196,0.00464467,0.00204867
66,0.00210467,0.00474433,0.00201533
67,0.00200633,0.00497467,0.00199933
68,0.00219167,0.004922,0.00214533
69,0.002294,0.005459,0.00191733
70,0.00218067,0.00568967,0.00215833
71,0.00236367,0.005589,0.002185
72,0.002374,0.00614567,0.00207467
73,0.00239767,0.00616067,0.002273
74,0.002423,0.00619833,0.002851
75,0.002736,0.006332,0.002212
76,0.00274733,0.00646733,0.00250067
77,0.00278133,0.00683,0.00245267
78,0.00285033,0.00678267,0.00234367
79,0.002892,0.006878,0.002559
80,0.00305133,0.00679967,0.00258467
81,0.00306267,0.00723233,0.00251367
82,0.003184,0.00733633,0.002743
83,0.003181,0.00743667,0.00268133
84,0.00323167,0.007524,0.00282533
85,0.003442,0.00864367,0.00279
86,0.00337567,0.007919,0.002808
87,0.00352433,0.008039,0.00318
88,0.00354767,0.00794467,0.00277633
89,0.00347667,0.00802433,0.00281833
90,0.00347833,0.00762833,0.00282933
91,0.00358867,0.00816633,0.00287967
92,0.003629,0.007946,0.00313033
93,0.00376933,0.008212,0.00303667
94,0.00380767,0.00845767,0.00310233
95,0.00386067,0.008078,0.00300133
96,0.00402467,0.00959933,0.003366
97,0.00419233,0.00916133,0.00328633
98,0.00414133,0.00885,0.00334967
99,0.00418933,0.00904533,0.003363
100,0.00430533,0.00894133,0.00333933
